Species,subclass,GrowthForm_CTD,Abund_CTD,IUCNstatus,MeanPCcover,coralcover,Range,ReefArea_Range,family_molecules,family_morphology,larval,IUCN conservation status,Depth lower,Depth upper,Eastern-most range edge,Genus fossil age,Northern-most range edge,Oocyte size at maturity,Range size,Southern-most range edge,Species age phylogeny,Veron species id,Water depth,Western-most range edge,Colony maximum diameter,Corallite width maximum,Corallite width minimum,Growth rate,Water temperature,Nitrogen concentration,Phosphorus concentration,Sample identifier,Calcification rate,Irradiance,Skeletal density,Skeletal micro-density,Symbiodinium density,Tissue thickness,Year,Propagule size on release,Colony area,Colony fecundity,Colony shape factor,Distance from crest,Length of nonreproductive zone,Polyp fecundity,Polyps per area,Ratio of female to male gonads,Size at maturity,Egg size,Flow rate,Mitotic index,RNA:DNA ratio,Season,Chlorophyll a,Lipid content,Total biomass,Protein biomass,Age at maturity,Eggs per area,Generation time,Mesentery fecundity,Number of septa per corallite,Dark respiration,Gross photosynthesis,Larval swimming speed,Dissolved oxygen concentration,Distance from shore,Downward flux of suspended particulate matter,Light extinction coefficient,Nitrite-nitrate concentration,Particulate organic matter concentration,Phosphate concentration,Salinity,Suspended particulate matter concentration,Individual identifier,Propagule age,Rainfall,Sunlight,Colony surface area
Acanthastrea echinata,Hexacorallia,massive,common,LC,0.065,129889.56994955089,66201280,241312,Lobophyllidae,Mussidae,spawner,Least Concern,43.333333333333336,8.333333333333334,-137.3474436,25.666,36.03063196,443,64652312.74,-36.54160431,2.47727808303031,2,5.333333333333333,26.9928024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora abrolhosensis,Hexacorallia,branching_open,rare,VU,0.108,215816.51622386917,28781078,172690,Acroporidae,Acroporidae,spawner,Vulnerable,29.333333333333332,2,-176.23392741,52.44,30.3465097,NA,25535461.155,-28.93109775,2.0510166523841,59,1,94.786195,533.3333333333334,1.5,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora abrotanoides,Hexacorallia,branching_open,uncommon,LC,0.145,289753.6560413058,68866820,234616,Acroporidae,Acroporidae,spawner,Least Concern,20.5,0,-136.33745034,52.44,31.21066413,661,63419684.165,-34.0029668,3.87591025313423,21,NA,25.0445129,NA,1.2,0.7,127.5,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora aculeus,Hexacorallia,corymbose,uncommon,VU,0.058,115901.46241652234,52250659,207015,Acroporidae,Acroporidae,spawner,Vulnerable,37.4,5.333333333333333,-169.99388497,52.44,29.08305865,NA,47171291.805,-31.67116472,1.06543566288177,6,3.8875,35.8670617,40,1,0.8,NA,NA,0.702967494,0.20231929799999998,161.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora acuminata,Hexacorallia,branching_open,uncommon,VU,1.189,2375979.979538708,44734602,212939,Acroporidae,Acroporidae,NA,Vulnerable,22.5,5,-161.67828547,52.44,30.75852777,NA,42885297.475,-35.12419872,1.93903601352788,7,NA,30.3853529,133.33333333333334,1.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora anthocercis,Hexacorallia,tables_or_plates,uncommon,VU,0.38,759354.4089358359,52233252,216222,Acroporidae,Acroporidae,spawner,Vulnerable,17.5,5,-172.89557322,52.44,37.84199738,NA,50575611,-35.53327447,1.9100380709495,8,NA,24.5075802,75,1.3,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora aspera,Hexacorallia,branching_open,uncommon,VU,0.342,683418.9680422524,43897158,194457,Acroporidae,Acroporidae,spawner,Vulnerable,9.333333333333334,0,-163.938967261,52.44,38.18648223,NA,41935916.085,-35.7055169,3.01610547560649,9,1.6904761904761905,70.1518221,NA,1.8,1,6.05105,28.333333333333332,NA,NA,NA,0.015272727272727273,1271,0.92,2.788,1500000,1,1988.5454545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora austera,Hexacorallia,branching_open,common,NT,0.258,515561.67764590966,63714823,234077,Acroporidae,Acroporidae,NA,Near Threatened,24.75,3.75,-137.60867727,52.44,31.1205428,545,60709970.61,-34.58104986,1.30159797054609,10,2.36,27.2842283,NA,1.5,0.6,62.9,29,NA,NA,NA,1.82,NA,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora awi,Hexacorallia,hispidose,uncommon,VU,0.05,99915.05380734683,8750797,95608,Acroporidae,Acroporidae,NA,Vulnerable,12.5,0,154.71539343,52.44,30.47951781,NA,9450503.282,-13.04047873,1.08349899373273,792,NA,95.224756,150,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora carduus,Hexacorallia,hispidose,common,NT,0.165,329719.6775642446,41615207,181180,Acroporidae,Acroporidae,spawner,Near Threatened,36.25,4,-136.19568158,52.44,30.57713497,NA,37905091.42,-25.90885649,0.874357006058655,14,NA,80.263446,NA,0.9,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora caroliniana,Hexacorallia,tables_or_plates,uncommon,VU,0.059,117899.76349266926,30227682,167504,Acroporidae,Acroporidae,NA,Vulnerable,35,10,-175.83445145,52.44,28.94984396,NA,32460333.615,-32.93503621,3.36788174695489,15,NA,94.701537,50,1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora cerealis,Hexacorallia,corymbose,common,LC,0.188,375680.60231562407,67291204,230455,Acroporidae,Acroporidae,spawner,Least Concern,26.2,3,-151.849941404,52.44,31.07171053,656,57556070.995000005,-32.85416341,1.06004943315889,16,6.75,31.004359,50,0.8,0.3,42.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora clathrata,Hexacorallia,tables_or_plates,common,LC,0.234,467602.45181838324,64156802,237106,Acroporidae,Acroporidae,spawner,Least Concern,27.25,3.5,-137.69529769,52.44,32.70677934,NA,65281082.79000001,-34.74887694,0.681699077952678,18,2.2,26.0011633,NA,0.9,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora cytherea,Hexacorallia,tables_or_plates,common,LC,0.921,1840435.2911313288,85639274,238455,Acroporidae,Acroporidae,NA,Least Concern,30.083333333333336,13,-134.96391293,52.44,31.5524021,543,74032698.81,-34.0466021,1.24172200256654,20,5.906547619047619,26.7310514,300,1,0.7,59.725,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora desalwii,Hexacorallia,corymbose,common,VU,0.073,145875.97855872638,6820770,88805,Acroporidae,Acroporidae,NA,Vulnerable,32.5,10,153.5933386,52.44,19.95776858,NA,7451118.972999999,-12.47183594,0.939961960726763,679,NA,94.2276691,30,0.8,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora digitifera,Hexacorallia,digitate,uncommon,NT,0.552,1103062.1940331091,61926579,235048,Acroporidae,Acroporidae,spawner,Near Threatened,11.25,0.6666666666666667,-137.50213414,52.44,31.07171053,NA,58582318.435,-33.4223934,0.720078523765105,23,2.5,25.7482316,100,1.6,0.6,37.6,29,NA,NA,NA,2.29,NA,1.52,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora divaricata,Hexacorallia,tables_or_plates,common,NT,0.175,349702.6883257139,54676058,207244,Acroporidae,Acroporidae,spawner,Near Threatened,20,5.5,-175.65145197,52.44,39.04769434,622,50358454.519999996,-33.63860783,0.900376000707082,24,4.343333333333334,33.6364286,NA,1.1,0.7,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropora donei,Hexacorallia,branching_open,uncommon,VU,0.231,461607.5485899424,36434302,183994,Acroporidae,Acroporidae,spawner,Vulnerable,36.666666666666664,5,-175.1347247,52.44,22.68466423,NA,31618634.395000003,-35.01654721,1.3739231726837,25,2,80.4863674,266.6666666666667,1.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
