"","X","Species","subclass","GrowthForm_CTD","Abund_CTD","IUCNstatus","MeanPCcover","coralcover","Range","ReefArea_Range","family_molecules","family_morphology","larval","IUCN.conservation.status","Depth.lower","Depth.upper","Oocyte.size.at.maturity","Range.size","Colony.maximum.diameter","Corallite.width.maximum","Corallite.width.minimum","Growth.rate","Skeletal.density","Skeletal.micro.density","Tissue.thickness","Colony.area","Colony.fecundity","Colony.shape.factor","Polyp.fecundity","Polyps.per.area","Size.at.maturity","Age.at.maturity","Eggs.per.area","Generation.time","fecundity","IndoPacific_fecundity","Genus"
"1",1,"Acanthastrea echinata","Hexacorallia","massive","common","LC",0.065,1298895699495510,66201280,241312,"Lobophyllidae","Mussidae","spawner","Least Concern",43.3333333333333,8.33333333333333,443,64652312.74,201.721666666667,10.138,5.544,9.04977469927921,1.68099689166267,2.82647,2.3795,291.978548576818,325332.447491632,6.16832567682588,25.5881059428572,43.545,31.1044077758,6.07,346.4,35.56,1114.23407328172,1447273846016986880,"Acanthastrea"
"2",2,"Acropora abrolhosensis","Hexacorallia","branching_open","rare","VU",0.108,2158165162238690,28781078,172690,"Acroporidae","Acroporidae","spawner","Vulnerable",29.3333333333333,2,439.835,25535461.155,533.333333333333,1.5,0.9,56.8908891192181,1.54913717948718,2.82503,2.1365,357.656966973996,306677.927529757,4.79076242056706,10.1264097428571,84.676,42.6443520291,6.2,340.1,35.26,857.463871386168,1850548655103943936,"Acropora"
"3",3,"Acropora abrotanoides","Hexacorallia","branching_open","uncommon","LC",0.145,2897536560413060,68866820,234616,"Acroporidae","Acroporidae","spawner","Least Concern",20.5,0,661,63419684.165,323.356666666667,1.2,0.7,127.5,1.44810320512821,2.84077,2.726,377.413323677912,320199.905193252,10.2679175002274,8.13179531428572,104.332,44.8622924162,6.28,329.6,34.78,848.406468730058,2458288761236281856,"Acropora"
"4",4,"Acropora aculeus","Hexacorallia","corymbose","uncommon","VU",0.058,1159014624165220,52250659,207015,"Acroporidae","Acroporidae","spawner","Vulnerable",37.4,5.33333333333333,326.499,47171291.805,40,1,0.8,33.7370950813464,1.40366666666667,2.80578,1.031,342.245236942796,265949.587981956,6.92574162485341,9.67014062857143,80.358,41.5136128138,6.06,345.7,35.56,777.073160630743,900639157217320192,"Acropora"
"5",5,"Acropora acuminata","Hexacorallia","branching_open","uncommon","VU",1.189,23759799795387100,44734602,212939,"Acroporidae","Acroporidae",NA,"Vulnerable",22.5,5,312.687,42885297.475,133.333333333333,1.2,0.6,40.7629367117812,1.4066,2.80733,1.2,360.494567086007,276151.064936039,6.80258352859644,8.91877885714286,85.89,41.6698811736,6.06,345.7,35.56,766.03391604,18200812481586776064,"Acropora"
"6",6,"Acropora anthocercis","Hexacorallia","tables_or_plates","uncommon","VU",0.38,7593544089358361,52233252,216222,"Acroporidae","Acroporidae","spawner","Vulnerable",17.5,5,314.477,50575611,75,1.3,0.8,31.132920516129,1.46835,2.8041,1.319,362.344286599639,328214.380107676,6.78847298505717,11.6529624,77.732,41.1940242587,6.06,345.7,35.56,905.8080732768,6878293540924129280,"Acropora"
"7",7,"Acropora aspera","Hexacorallia","branching_open","uncommon","VU",0.342,6834189680422520,43897158,194457,"Acroporidae","Acroporidae","spawner","Vulnerable",9.33333333333333,0,312.239,41935916.085,117.668333333333,1.8,1,6.05105,0.92,2.788,1,396.870293426094,392440.262412955,7.76834086546654,13.1567841714286,75.158,42.6377225357,6.04,340.1,35.41,988.837584756231,6757903617354960896,"Acropora"
"8",8,"Acropora austera","Hexacorallia","branching_open","common","NT",0.258,5155616776459100,63714823,234077,"Acroporidae","Acroporidae",NA,"Near Threatened",24.75,3.75,545,60709970.61,328.88,1.5,0.6,62.9,1.44,2.85635,3.822,539.31888361375,465153.651140712,10.0975509150562,8.21123531428571,105.037,46.1916857079,6.28,326.1,34.72,862.483523706628,4446634524241452544,"Acropora"
"9",9,"Acropora awi","Hexacorallia","hispidose","uncommon","VU",0.05,999150538073468,8750797,95608,"Acroporidae","Acroporidae",NA,"Vulnerable",12.5,0,315.5855,9450503.282,150,1,0.7,35.1024604798972,1.39851666666667,2.80673,1.103,358.002839033059,285673.538323906,6.80258352859644,9.29540974285714,85.845,40.7916461968,6.06,345.7,35.56,797.964449375571,797286608957100672,"Acropora"
"10",10,"Acropora carduus","Hexacorallia","hispidose","common","NT",0.165,3297196775642450,41615207,181180,"Acroporidae","Acroporidae","spawner","Near Threatened",36.25,4,320.639,37905091.42,103.936666666667,0.9,0.5,40.6527005451146,1.4352,2.80892,1.05,357.428756751854,264588.427418743,7.93870745063773,8.85906974285714,83.559,41.8110671372,6.06,345.7,35.56,740.2550086434,2440766427652191744,"Acropora"
"11",11,"Acropora caroliniana","Hexacorallia","tables_or_plates","uncommon","VU",0.059,1178997634926690,30227682,167504,"Acroporidae","Acroporidae",NA,"Vulnerable",35,10,310.114,32460333.615,50,1,0.6,40.2027612769986,1.3613,2.8056,1.07,378.211504406647,267376.832854289,8.43569666261205,8.12857797142857,86.971,43.9397856568,6.06,345.7,35.56,706.950554753114,833493032064033024,"Acropora"
"12",12,"Acropora cerealis","Hexacorallia","corymbose","common","LC",0.188,3756806023156240,67291204,230455,"Acroporidae","Acroporidae","spawner","Least Concern",26.2,3,656,57556070.995,50,0.8,0.3,42.9,1.50061666666667,2.82122,1.564,392.479511333672,259560.221507161,8.54474421532976,7.88457442857143,83.877,44.5840209106,6.21,332.4,34.99,661.334449345286,2484505242621084672,"Acropora"
"13",13,"Acropora clathrata","Hexacorallia","tables_or_plates","common","LC",0.234,4676024518183830,64156802,237106,"Acroporidae","Acroporidae","spawner","Least Concern",27.25,3.5,397.6555,65281082.79,126.813333333333,0.9,0.5,32.6458409019742,1.48754166666667,2.82016,1.534,355.006778048834,255714.152413794,9.01351234022555,8.29408151428571,86.846,37.9865306199,6.22,334.5,34.9,720.307803189657,3368176948353967616,"Acropora"
"14",14,"Acropora cytherea","Hexacorallia","tables_or_plates","common","LC",0.921,18404352911313300,85639274,238455,"Acroporidae","Acroporidae",NA,"Least Concern",30.0833333333333,13,543,74032698.81,300,1,0.7,59.725,1.40260935897436,2.85539,4.3255,554.064557833808,494152.746526762,12.3318239554674,8.0095962,111.35,42.7272028912,6.28,326.1,34.72,891.86853687,16414263303052120064,"Acropora"
"15",15,"Acropora desalwii","Hexacorallia","corymbose","common","VU",0.073,1458759785587260,6820770,88805,"Acroporidae","Acroporidae",NA,"Vulnerable",32.5,10,304.233,7451118.973,30,0.8,0.6,33.7082946465638,1.4041,2.80658,1.018,358.53478932229,271429.694538984,7.06301026464965,8.92024885714286,84.869,42.0658386403,6.06,345.7,35.56,757.052600256857,1104357888828971008,"Acropora"
"16",16,"Acropora digitifera","Hexacorallia","digitate","uncommon","NT",0.552,11030621940331100,61926579,235048,"Acroporidae","Acroporidae","spawner","Near Threatened",11.25,0.666666666666667,361.541833333333,58582318.435,100,1.6,0.6,37.6,1.52,2.81978,1.9,369.639313658849,300573.201049107,5.80372824635138,11.3277706285714,71.784,42.6780616514,6.12,340.1,35.32,813.15268680137,8969579867870368768,"Acropora"
"17",17,"Acropora divaricata","Hexacorallia","tables_or_plates","common","NT",0.175,3497026883257140,54676058,207244,"Acroporidae","Acroporidae","spawner","Near Threatened",20,5.5,622,50358454.52,202.623333333333,1.1,0.7,41.5,1.47288269230769,2.82645,1.7355,344.47303363833,205773.034925056,7.70214497471663,7.3661262,81.095,42.2165676869,6.22,338,35.14,597.356004189,2.088970005524e+18,"Acropora"
